Gerações,Melhor Fitness,Pior Fitness,Desvio Padrão,Mediana,Tempo Médio (s),Soluções Factíveis
100,-2088.4147576409728,-2071.8081267318307,5.53601772941502,-2077.1216806087887,0.31119356155395506,5000.0
1000,-2095.325459640421,-2093.0742006513738,0.6838791244099504,-2094.8183133332404,2.8405046224594117,50000.0
10000,-2095.892178148005,-2095.7128704892853,0.05763826289274672,-2095.8365214669075,28.266121101379394,500000.0
